iter	Passed	Remaining
472	1282	1428
473	1286	1427
474	1288	1424
475	1290	1420
476	1294	1419
477	1297	1417
478	1300	1414
479	1304	1413
480	1307	1411
481	1310	1408
482	1313	1405
483	1316	1403
484	1318	1399
485	1330	1407
486	1333	1405
487	1335	1401
488	1337	1397
489	1339	1394
490	1341	1390
491	1344	1388
492	1349	1387
493	1351	1384
494	1352	1380
495	1354	1376
496	1359	1375
497	1362	1373
498	1365	1371
499	1368	1368
500	1380	1374
501	1383	1372
502	1386	1369
503	1388	1366
504	1389	1362
505	1392	1359
506	1395	1356
507	1397	1353
508	1399	1349
509	1400	1345
510	1403	1342
511	1406	1340
512	1409	1337
513	1411	1334
514	1416	1334
515	1419	1331
516	1423	1329
517	1426	1327
518	1428	1323
519	1431	1321
520	1434	1318
521	1435	1314
522	1437	1311
523	1439	1307
524	1441	1303
525	1443	1301
526	1446	1298
527	1450	1296
528	1462	1302
529	1465	1299
530	1467	1296
531	1469	1292
532	1471	1289
533	1473	1285
534	1474	1281
535	1478	1279
536	1481	1277
537	1484	1274
538	1486	1271
539	1488	1267
540	1490	1264
541	1491	1260
542	1493	1257
543	1495	1253
544	1497	1250
545	1499	1246
546	1501	1243
547	1504	1240
548	1508	1239
549	1510	1235
550	1512	1232
551	1513	1228
552	1515	1225
553	1517	1222
554	1521	1219
555	1524	1217
556	1527	1215
557	1530	1212
558	1533	1209
559	1536	1207
560	1539	1204
561	1541	1201
562	1543	1197
563	1546	1195
564	1549	1193
565	1551	1190
566	1553	1186
567	1555	1183
568	1557	1179
569	1559	1176
570	1561	1173
571	1563	1169
572	1565	1166
573	1573	1167
574	1574	1164
575	1578	1161
576	1582	1159
577	1584	1157
578	1586	1153
579	1588	1150
580	1590	1146
581	1592	1143
582	1593	1140
583	1595	1136
584	1597	1133
585	1599	1129
586	1601	1126
587	1603	1123
588	1604	1119
589	1606	1116
590	1608	1113
591	1610	1109
592	1612	1106
593	1624	1110
594	1627	1107
595	1629	1104
596	1631	1101
597	1632	1097
598	1635	1094
599	1636	1091
600	1638	1087
601	1640	1084
602	1643	1081
603	1651	1082
604	1673	1092
605	1676	1089
606	1678	1086
607	1680	1083
608	1681	1079
609	1684	1076
610	1687	1074
611	1689	1071
612	1692	1068
613	1694	1065
614	1696	1061
615	1699	1059
616	1703	1057
617	1706	1054
618	1719	1058
619	1723	1056
620	1739	1061
621	1741	1058
622	1743	1055
623	1746	1052
624	1752	1051
625	1754	1048
626	1757	1045
627	1759	1042
628	1761	1038
629	1763	1035
630	1764	1032
631	1766	1028
632	1768	1025
633	1770	1022
634	1772	1018
635	1785	1021
636	1787	1018
637	1790	1016
638	1794	1013
639	1796	1010
640	1802	1009
641	1805	1006
642	1806	1003
643	1808	999
644	1811	996
645	1815	994
646	1818	992
647	1821	989
648	1823	986
649	1824	982
650	1826	979
651	1838	981
652	1841	978
653	1842	974
654	1844	971
655	1846	968
656	1848	965
657	1850	961
658	1854	959
659	1857	956
660	1869	958
661	1871	955
662	1873	952
663	1874	948
664	1878	946
665	1880	943
666	1885	941
667	1887	938
668	1889	934
669	1891	931
670	1893	928
671	1895	925
672	1897	921
673	1899	918
674	1901	915
675	1902	912
676	1904	908
677	1906	905
678	1909	902
679	1912	899
680	1914	896
681	1916	893
682	1918	890
683	1920	887
684	1921	883
685	1924	880
686	1928	878
687	1931	875
688	1933	872
689	1936	869
690	1939	867
691	1953	869
692	1955	866
693	1959	863
694	1962	861
695	1986	867
696	1988	864
697	1990	861
698	1993	858
699	1996	855
700	2018	860
701	2021	858
702	2024	855
703	2027	852
704	2029	849
705	2033	846
706	2036	843
707	2039	841
708	2044	839
709	2046	835
710	2048	832
711	2052	830
712	2055	827
713	2059	824
714	2062	822
715	2064	819
716	2066	815
717	2068	812
718	2071	809
719	2074	806
720	2076	803
721	2080	800
722	2082	798
723	2085	794
724	2087	791
725	2090	789
726	2093	786
727	2095	782
728	2097	779
729	2099	776
730	2100	773
731	2102	769
732	2104	766
733	2106	763
734	2109	760
735	2111	757
736	2112	753
737	2114	750
738	2116	747
739	2118	744
740	2119	740
741	2121	737
742	2123	734
743	2125	731
744	2127	728
745	2128	724
746	2130	721
747	2133	718
748	2135	715
749	2137	712
750	2138	709
751	2140	705
752	2144	703
753	2147	700
754	2149	697
755	2151	694
756	2153	691
757	2155	688
758	2167	688
759	2169	685
760	2181	685
761	2183	681
762	2185	678
763	2186	675
764	2189	672
765	2191	669
766	2193	666
767	2195	663
768	2196	659
769	2199	656
770	2211	656
771	2213	653
772	2215	650
773	2217	647
774	2219	644
775	2221	641
776	2222	637
777	2224	634
778	2226	631
779	2228	628
780	2230	625
781	2231	622
782	2233	619
783	2235	615
784	2237	612
785	2239	609
786	2240	606
787	2242	603
788	2244	600
789	2246	597
790	2248	594
791	2261	593
792	2263	590
793	2264	587
794	2277	587
795	2279	584
796	2281	581
797	2283	578
798	2285	574
799	2287	571
800	2289	568
801	2291	565
802	2293	562
803	2296	559
804	2298	556
805	2301	553
806	2303	550
807	2306	547
808	2310	545
809	2312	542
810	2315	539
811	2318	536
812	2320	533
813	2322	530
814	2324	527
815	2326	524
816	2329	521
817	2330	518
818	2333	515
819	2335	512
820	2338	509
821	2340	506
822	2342	503
823	2346	501
824	2348	498
825	2351	495
826	2353	492
827	2355	489
828	2358	486
829	2360	483
830	2362	480
831	2364	477
832	2366	474
833	2368	471
834	2370	468
835	2372	465
836	2375	462
837	2377	459
838	2379	456
839	2381	453
840	2383	450
841	2386	447
842	2388	444
843	2390	441
844	2392	438
845	2394	435
846	2396	432
847	2400	430
848	2402	427
849	2404	424
850	2406	421
851	2408	418
852	2411	415
853	2414	412
854	2416	409
855	2418	406
856	2420	403
857	2422	400
858	2425	398
859	2427	395
860	2429	392
861	2432	389
862	2434	386
863	2437	383
864	2439	380
865	2441	377
866	2443	374
867	2445	371
868	2448	369
869	2450	366
870	2452	363
871	2455	360
872	2457	357
873	2460	354
874	2462	351
875	2465	348
876	2467	346
877	2468	343
878	2471	340
879	2473	337
880	2475	334
881	2477	331
882	2479	328
883	2481	325
884	2483	322
885	2486	319
886	2488	316
887	2490	314
888	2492	311
889	2494	308
890	2497	305
891	2500	302
892	2503	299
893	2506	297
894	2508	294
895	2512	291
896	2520	289
897	2523	286
898	2525	283
899	2528	280
900	2530	278
901	2532	275
902	2552	274
903	2554	271
904	2556	268
905	2559	265
906	2562	262
907	2571	260
908	2573	257
909	2576	254
910	2585	252
911	2587	249
912	2592	247
913	2595	244
914	2598	241
915	2600	238
916	2603	235
917	2605	232
918	2608	229
919	2610	227
920	2612	224
921	2615	221
922	2618	218
923	2620	215
924	2622	212
925	2624	209
926	2627	206
927	2630	204
928	2632	201
929	2635	198
930	2638	195
931	2640	192
932	2643	189
933	2645	186
934	2648	184
935	2650	181
936	2651	178
937	2653	175
938	2656	172
939	2661	169
940	2663	167
941	2667	164
942	2669	161
943	2671	158
944	2673	155
945	2674	152
946	2676	149
947	2678	146
948	2681	144
949	2684	141
950	2687	138
951	2690	135
952	2692	132
953	2694	129
954	2697	127
955	2699	124
956	2701	121
957	2703	118
958	2708	115
959	2711	112
960	2714	110
961	2716	107
962	2718	104
963	2722	101
964	2724	98
965	2726	95
966	2728	93
967	2732	90
968	2734	87
969	2736	84
970	2738	81
971	2741	78
972	2743	76
973	2746	73
974	2749	70
975	2751	67
976	2753	64
977	2755	61
978	2757	59
979	2760	56
980	2766	53
981	2767	50
982	2770	47
983	2772	45
984	2780	42
985	2782	39
986	2784	36
987	2786	33
988	2788	31
989	2791	28
990	2795	25
991	2799	22
992	2802	19
993	2805	16
994	2807	14
995	2810	11
996	2814	8
997	2816	5
998	2818	2
999	2827	0
