iter	Logloss
0	0.6883890609
1	0.6831018977
2	0.6783061092
3	0.672403478
4	0.6669597745
5	0.6622497548
6	0.6574345636
7	0.6529317356
8	0.6488484662
9	0.6451159507
10	0.6403448789
11	0.6362292052
12	0.6319830757
13	0.6283275189
14	0.6242083875
15	0.6205217314
16	0.6165920666
17	0.612826697
18	0.6095319481
19	0.6056912521
20	0.6013651619
21	0.5982168679
22	0.5952372838
23	0.5928736546
24	0.5902064614
25	0.5864017691
26	0.5833465272
27	0.5801072407
28	0.5771753646
29	0.5743898714
30	0.5717585346
31	0.5697274543
32	0.5671756423
33	0.5642523511
34	0.5621835448
35	0.5591541366
36	0.5567769345
37	0.553990459
38	0.5507856286
39	0.5486893658
40	0.5456301773
41	0.5434817141
42	0.5414997113
43	0.5390760773
44	0.5373448021
45	0.5348185791
46	0.533183343
47	0.5306061962
48	0.529012314
49	0.526810572
50	0.5242942479
51	0.5225525481
52	0.5199999055
53	0.5181389345
54	0.515805834
55	0.5140776914
56	0.5126687876
57	0.5107126986
58	0.5088064503
59	0.5073133887
60	0.5055611704
61	0.5040501554
62	0.502030199
63	0.5006261467
64	0.4982158224
65	0.4961061107
66	0.4944838632
67	0.4931480566
68	0.4915967921
69	0.4899764121
70	0.4881715604
71	0.4866085824
72	0.4855162366
73	0.4841669383
74	0.4820591063
75	0.4797308247
76	0.4782415293
77	0.4765552443
78	0.4747217397
79	0.4731531405
80	0.471806568
81	0.4696714227
82	0.468240637
83	0.4672639445
84	0.4661294007
85	0.4650759221
86	0.4631359472
87	0.4615383224
88	0.4605502476
89	0.4592125201
90	0.4578468981
91	0.4562164716
92	0.4546751805
93	0.453821367
94	0.4520318776
95	0.4508182959
96	0.4497946794
97	0.4490455167
98	0.4475564849
99	0.446134006
100	0.4452690903
101	0.4440149465
102	0.44264825
103	0.4412361082
104	0.4404700776
105	0.4390169471
106	0.4375465327
107	0.4362257413
108	0.4351818711
109	0.4342338296
110	0.4332941199
111	0.4322507895
112	0.4309365592
113	0.4297662839
114	0.428709248
115	0.427758761
116	0.4269571792
117	0.4259657372
118	0.4250246918
119	0.4234858244
120	0.4226841356
121	0.4216026776
122	0.4206323988
123	0.4193161372
124	0.41848974
125	0.4175471729
126	0.4163407092
127	0.41514264
128	0.4139690817
129	0.4125857919
130	0.411512936
131	0.4103641589
132	0.4095709857
133	0.4086391503
134	0.4079600679
135	0.4065882583
136	0.4054255798
137	0.4046343332
138	0.4038928999
139	0.4025079691
140	0.40113168
141	0.4000559313
